NodeName,isCyber,isPhysical,isSocial
CityHall,1,1,1
SmartTrafficLights,1,1,0
PublicWi-FiNetwork,1,0,0
CommunityCenter,0,1,1
SmartWasteBins,1,1,0
EnvironmentalSensors,1,1,0
AutonomousBuses,1,1,0
SmartStreetLighting,1,1,0
CityDataCenter,1,0,0
PublicParks,0,1,1
SmartEnergyGrid,1,1,0
WaterManagementSystem,1,1,0
EmergencyResponseCenter,1,1,1
SmartParkingSystem,1,1,0
DigitalCitizenPortal,1,0,1
PublicLibrary,1,1,1
HealthcareClinic,1,1,1
PoliceStation,1,1,1
FireStation,1,1,1
SmartHomeSystems,1,1,0
ElectricVehicleChargingStations,1,1,0
WeatherMonitoringStation,1,1,0
PublicDisplayScreens,1,1,1
Bike-SharingStations,1,1,0
SmartIrrigationSystem,1,1,0
NoiseMonitoringSensors,1,1,0
AirQualityMonitors,1,1,0
TrafficCameras,1,1,0
SmartCrosswalks,1,1,0
SolarPanels,0,1,0
CityHall,1,1,1
SmartTrafficLights,1,1,0
PublicWi-FiNetwork,1,0,0
CommunityCenter,0,1,1
SmartWasteBins,1,1,0
EnvironmentalSensors,1,1,0
AutonomousBuses,1,1,0
SmartStreetLighting,1,1,0
CityDataCenter,1,0,0
PublicParks,0,1,1
SmartEnergyGrid,1,1,0
WaterManagementSystem,1,1,0
EmergencyResponseCenter,1,1,1
SmartParkingSystem,1,1,0
