Source,InformationFlow,Destination
Driver,driver input,Vehicle
Driver,request for service,Vehicle
Vehicle,driver updates,Driver
Vehicle,vehicle location and motion for mapping,Map Update System
Vehicle,vehicle location and motion,Other Vehicles
Vehicle,intersection infringement info,Other Vehicles
Vehicle,vehicle profile,Other Vehicles
Vehicle,vehicle environmental data,Other Vehicles
Vehicle,vehicle control event,Other Vehicles
Vehicle,vehicle platoon coordination,Other Vehicles
Vehicle,emergency notification,Other Vehicles
Vehicle,emergency acknowledge,Other Vehicles
Vehicle,emergency notification relay,Other Vehicles
Vehicle,vehicle path prediction,Other Vehicles
Vehicle,vehicle hazard event,Other Vehicles
Vehicle,vehicle cluster coordination,Other Vehicles
Vehicle,wrong way vehicle detected,Other Vehicles
Vehicle,map update sharing,Other Vehicles
Vehicle,vehicle maneuver coordination,Other Vehicles
Vehicle,detected unequipped vehicles and VRUs,Other Vehicles
Vehicle,detected obstacles,Other Vehicles
Vehicle,vehicle location and motion,Connected Vehicle Roadside Equipment
Vehicle,intersection infringement info,Connected Vehicle Roadside Equipment
Vehicle,vehicle profile,Connected Vehicle Roadside Equipment
Vehicle,vehicle environmental data,Connected Vehicle Roadside Equipment
Vehicle,vehicle reported emissions,Connected Vehicle Roadside Equipment
Vehicle,vehicle control event,Connected Vehicle Roadside Equipment
Vehicle,vehicle platoon coordination,Connected Vehicle Roadside Equipment
Vehicle,automated vehicle control status,Connected Vehicle Roadside Equipment
Vehicle,vehicle situation data,Connected Vehicle Roadside Equipment
Vehicle,vehicle location and motion for surveillance,Connected Vehicle Roadside Equipment
Vehicle,access request,Connected Vehicle Roadside Equipment
Vehicle,vehicle cluster coordination,Connected Vehicle Roadside Equipment
Vehicle,cooperative adaptive cruise control status,Connected Vehicle Roadside Equipment
Vehicle,wrong way vehicle detected,Connected Vehicle Roadside Equipment
Vehicle,detected unequipped vehicles and VRUs,Connected Vehicle Roadside Equipment
Vehicle,detected obstacles,Connected Vehicle Roadside Equipment
Vehicle,vehicle environmental data,Transportation Information Center
Vehicle,vehicle situation data,Transportation Information Center
Vehicle,vehicle location and motion,Personal Information Device
Vehicle,vehicle incident record,Enforcement Center
Vehicle,service record,Enforcement Center
Vehicle,vehicle collision information,Emergency Vehicle OBE
Vehicle,emergency notification,Emergency Management Center
Vehicle,emergency notification relay,Emergency Management Center
Vehicle,loading zone use request,Parking Area Equipment
Vehicle,OBE status,Service Monitor System
Vehicle,collision warning information,Basic Vehicle
Vehicle,driver update information,Basic Vehicle
Vehicle,vehicle control,Basic Vehicle
Vehicle,vehicle diagnostic data,Vehicle Service Center
Vehicle,vehicle service request,Vehicle Service Center
Vehicle,METR discrepancy report,METR System
Vehicle,vehicle location and motion,Personnel Device
Vehicle,vehicle location and motion,Micromobility Vehicle OBE
Vehicle,METR discrepancy report,METR Discrepancy Handling System
Vehicle,device configuration coordination,Personal
Map Update System,map updates,Vehicle
Map Update System,intersection geometry,Vehicle
Map Update System,roadway geometry,Vehicle
Map Update System,parking facility geometry,Vehicle
Map Update System,map updates,Connected Vehicle Roadside Equipment
Map Update System,intersection geometry,Connected Vehicle Roadside Equipment
Map Update System,roadway geometry,Connected Vehicle Roadside Equipment
Map Update System,parking facility geometry,Connected Vehicle Roadside Equipment
Map Update System,parking facility geometry,Parking Area Equipment
Map Update System,map updates,Traveler Support Equipment
Map Update System,pathway map updates,Traveler Support Equipment
Map Update System,map updates,Center
Map Update System,intersection geometry,Center
Map Update System,map operator updates,MAP GIS Operator
Map Update System,map update coordination,Other Map Update Systems
Map Update System,map updates,Personal
Map Update System,intersection geometry,Personal
Map Update System,pathway map updates,Personal
Other Vehicles,vehicle location and motion,Vehicle
Other Vehicles,intersection infringement info,Vehicle
Other Vehicles,vehicle profile,Vehicle
Other Vehicles,vehicle environmental data,Vehicle
Other Vehicles,vehicle control event,Vehicle
Other Vehicles,vehicle platoon coordination,Vehicle
Other Vehicles,emergency notification,Vehicle
Other Vehicles,emergency acknowledge,Vehicle
Other Vehicles,emergency notification relay,Vehicle
Other Vehicles,vehicle path prediction,Vehicle
Other Vehicles,vehicle hazard event,Vehicle
Other Vehicles,vehicle cluster coordination,Vehicle
Other Vehicles,wrong way vehicle detected,Vehicle
Other Vehicles,map update sharing,Vehicle
Other Vehicles,vehicle maneuver coordination,Vehicle
Other Vehicles,detected unequipped vehicles and VRUs,Vehicle
Other Vehicles,detected obstacles,Vehicle
Other Vehicles,vehicle location and motion,Connected Vehicle Roadside Equipment
Traffic Management Center,traffic images,Maint and Constr Management Center
Traffic Management Center,road network conditions,Maint and Constr Management Center
Traffic Management Center,incident information,Maint and Constr Management Center
Traffic Management Center,traffic control priority status,Maint and Constr Management Center
Traffic Management Center,transportation operational strategies,Maint and Constr Management Center
Traffic Management Center,road network status assessment,Maint and Constr Management Center
Traffic Management Center,environmental conditions data,Maint and Constr Management Center
Traffic Management Center,maint and constr resource request,Maint and Constr Management Center
Traffic Management Center,work plan feedback,Maint and Constr Management Center
