NodeName,isCyber,isPhysical,isSocial,ArchitectureLayer
Driver,0,1,1,Physical
Vehicle,1,1,0,Physical
Map Update System,1,0,0,Physical
Other Vehicles,0,1,0,Physical
Traffic Management Center,1,1,0,Physical
Maint and Constr Management Center,1,1,0,Physical
ITS Roadway Equipment,1,1,0,Physical
Connected Vehicle Roadside Equipment,1,1,0,Physical
Freight Equipment,0,1,0,Physical
Intermodal Terminal,1,1,0,Physical
Commercial Vehicle OBE,1,1,0,Physical
Fleet and Freight Management Center,1,1,0,Physical
Transportation Information Center,1,1,0,Physical
Commercial Vehicle Driver,0,1,1,Physical
Fleet-Freight Manager,0,1,1,Physical
Intermodal Customer System,1,1,0,Physical
Freight Distribution and Logistics Center,1,1,0,Physical
Freight Consolidation Station,1,1,0,Physical
Personal Information Device,1,1,1,Physical
Transit Management Center,1,1,0,Physical
Transit Vehicle Operator,0,1,1,Physical
Transit Operations Personnel,0,1,1,Physical
Transit Vehicle OBE,1,1,0,Physical
Alternate Mode Transportation Center,1,1,0,Physical
Other Transit Management Centers,1,1,0,Physical
Traffic Operations Personnel,1,1,1,Physical
Emissions Management Center,1,1,0,Physical
Weather Service System,1,1,0,Physical
Surface Transportation Weather Service,1,1,0,Physical
Maint and Constr Vehicle OBE,1,1,0,Physical
TIC Operator,1,1,1,Physical
Archived Data System,1,0,0,Physical
Enforcement Center,1,0,0,Physical
Wayside Equipment,0,1,0,Physical
Maint and Constr Center Personnel,0,1,1,Physical
Maint and Constr Field Personnel,0,1,1,Physical
Other MCV OBEs,1,1,0,Physical
Emergency Vehicle OBE,1,1,0,Physical
Pedestrian,0,1,1,Physical
Emergency Personnel,0,1,1,Physical
Other Traffic Management Centers,1,1,0,Physical
Financial Center,1,1,0,Physical
Payment Administration Center,1,0,0,Physical
ITS Roadway Payment Equipment,1,1,0,Physical
Emissions Management Operator,1,1,1,Physical
Event Promoter System,1,1,1,Physical
Payment Device,1,1,0,Physical
Electric Charging Station,1,1,0,Physical
Payment Administrator,1,0,0,Physical
DMV,0,0,1,Physical
Other Payment Administration Centers,1,0,0,Physical
Emergency Management Center,1,1,0,Physical
Other ITS Roadway Equipment,1,1,0,Physical
Other Emergency Management Centers,1,1,0,Physical
Emergency System Operator,1,1,1,Physical
Shelter Provider Center,0,1,1,Physical
Travel Services Provider System,0,1,1,Physical
Traveler,0,1,1,Physical
Public Health System,1,1,1,Physical
Rail Operations Center,1,1,0,Physical
Population and Housing Data System,1,1,0,Physical
Care Facility,1,1,0,Physical
Other EV OBEs,1,1,1,Physical
Emergency Telecommunications System,1,1,1,Physical
Parking Area Equipment,1,1,0,Physical
Traveler Support Equipment,1,1,1,Physical
Other Transportation Information Centers,1,1,1,Physical
Media,1,1,1,Physical
Social Media,1,1,1,Physical
Special Needs Registry,1,0,0,Physical
Border Inspection Administration Center,1,1,1,Physical
Border Inspection System,1,1,0,Physical
Commercial Vehicle Check Equipment,1,1,0,Physical
Commercial Vehicle Administration Center,1,1,0,Physical
Commercial Vehicle Inspector,1,1,1,Physical
Other CV Administration Centers,1,1,0,Physical
Center,0,0,0,Physical
Authorizing Center,1,1,0,Physical
Cooperative ITS Credentials Management System,1,0,0,Physical
Field Maintenance Equipment,1,1,0,Physical
Storage Facility Data Acquisition System,1,1,0,Physical
Maint and Constr Administrative Systems,1,1,1,Physical
Government Reporting Systems,1,0,0,Physical
Archived Data User System,1,0,0,Physical
Basic Transit Vehicle,1,1,0,Physical
Basic Emergency Vehicle,1,1,0,Physical
Basic Commercial Vehicle,1,1,0,Physical
Other Authorizing Centers,1,0,0,Physical
Traveler Card,1,1,0,Physical
Data Distribution System,1,0,0,Physical
Other Data Distribution Systems,1,0,0,Physical
Object Registration and Discovery System,1,0,0,Physical
Service Monitor System,1,0,0,Physical
Wide Area Information Disseminator System,1,1,0,Physical
Data Distribution System Operator,1,1,1,Physical
Credentials Management System Operator,1,1,1,Physical
ORDS Operator,1,1,1,Physical
Service Monitor System Operator,1,1,1,Physical
Basic Maint and Constr Vehicle,1,1,0,Physical
Network Time Source,1,0,0,Physical
Other Freight Distribution and Logistics Centers,1,0,0,Physical
Other Credentials Management Systems,1,0,0,Physical
Security Credentials Registry,1,0,0,Physical
Commercial Vehicle Service Provider Center,1,1,0,Physical
Other Commercial Vehicle Service Provider Centers,1,1,0,Physical
On-Board Weight Monitoring Equipment,1,1,0,Physical
MAP GIS Operator,1,1,1,Physical
Other Map Update Systems,1,0,0,Physical
Location and Time Data Source,1,1,0,Physical
Security Monitoring Equipment,1,1,0,Physical
Traveler Information Voice System,1,1,1,Physical
Driver Identification Card,1,1,0,Physical
Multimodal Crossing Equipment,1,1,0,Physical
Parking Operator,0,1,1,Physical
CVO Information Requestor Center,1,0,1,Physical
Other Archived Data Systems,1,0,0,Physical
Archived Data Administrator,1,1,1,Physical
Other Data Sources,1,1,1,Physical
Other Parking Management Centers,1,0,0,Physical
Other Maint and Constr Mgmt Centers,1,1,0,Physical
Asset Management System,1,1,1,Physical
Equipment Repair Facility,1,1,0,Physical
Alerting and Advisory System,1,1,1,Physical
Basic Vehicle,1,1,0,Physical
MMV User,1,1,1,Physical
Commercial Vehicle Administrator,1,1,1,Physical
Position Corrections Source,1,1,0,Physical
Field,0,1,0,Physical
Center Personnel,0,1,1,Physical
Support Maintenance Personnel,1,1,1,Physical
Field System Operator,1,1,1,Physical
Vehicle Service Center,1,1,0,Physical
Support Maintenance Equipment,1,1,0,Physical
Maint and Constr Vehicle Operator,0,1,1,Physical
METR System,1,0,0,Physical
Other Connected Vehicle Roadside Equipment,1,0,0,Physical
ITS Object,0,0,0,Physical
Other ITS Objects,0,0,0,Physical
ITS Communications Equipment,1,1,0,Physical
Personnel Device,1,1,0,Physical
Identifier Registry,1,0,0,Physical
Other Identifier Registries,1,0,0,Physical
Certification System,1,1,0,Physical
Certification System Operator,1,1,1,Physical
Parking Management Center,1,1,0,Physical
Parking Manager,1,1,1,Physical
Vehicle Characteristics,0,1,0,Physical
Roadway Environment,0,1,0,Physical
Potential Obstacles,0,1,0,Physical
Vulnerable Road Users,0,1,1,Physical
Other Border Inspection Administration Centers,1,1,0,Physical
Other Border Inspection Systems,1,1,0,Physical
Roadside Communications Unit,1,1,0,Physical
Wireless Communications  Provider System,1,1,0,Physical
Remote Access Device,1,1,0,Physical
Electric Utility,1,1,0,Physical
Elector,1,0,0,Physical
Supplementary Authorization Server,1,0,0,Physical
Certificate Access Manager,1,0,0,Physical
CCMS Manager System,1,1,0,Physical
Root CA,1,0,0,Physical
Intermediate CA,1,0,0,Physical
Authorization CA,1,0,0,Physical
Enrollment CA,1,0,0,Physical
Linkage Authority,1,0,0,Physical
Distribution Center,1,0,0,Physical
Device Configuration Manager,1,0,0,Physical
Location Obscurer Proxy,1,0,0,Physical
Registration Authority,1,0,0,Physical
Misbehavior Authority,1,0,0,Physical
Shared Use Transportation Center,1,1,0,Physical
Eligibility Certification Management System,1,1,0,Physical
Other PIDs,1,1,0,Physical
Micromobility Vehicle OBE,1,1,0,Physical
Personal Safety Device,0,1,0,Physical
Other Micromobility Vehicle OBEs,1,1,0,Physical
Pathway Equipment,1,1,0,Physical
Pathway Communications Unit,1,1,0,Physical
SUTC Operator,1,1,1,Physical
Light Vehicle OBE,0,1,0,Physical
METR Rule-Maker,1,0,0,Physical
METR Rule Translator Agent,1,0,0,Physical
METR Regulation System,1,0,0,Physical
METR Verification System,1,0,0,Physical
METR Discrepancy Handling System,1,0,0,Physical
Other METR Distribution Centers,1,0,0,Physical
Non-METR Distribution Center,1,0,0,Physical
Other METR Regulation Systems,1,0,0,Physical
Other METR Discrepancy Handling Systems,1,0,0,Physical
METR Discrepancy Contact System,1,0,0,Physical
Light Vehicle Driver,0,1,1,Physical
Personal,0,0,0,Physical
Electric Charging Management Center,1,1,0,Physical
METR Distribution Center,1,1,0,Physical
METR Rule-Maker/Agent,1,1,1,Physical
Other METR Systems,1,0,0,Physical
Map Update System,1,0,0,Enterprise
Traffic Management Center,1,0,1,Enterprise
Maint and Constr Management Center,1,0,1,Enterprise
ITS Roadway Equipment,1,1,0,Enterprise
Connected Vehicle Roadside Equipment,1,1,0,Enterprise
Freight Equipment,1,1,0,Enterprise
Intermodal Terminal,1,1,1,Enterprise
Commercial Vehicle OBE,1,1,0,Enterprise
Fleet and Freight Management Center,1,0,1,Enterprise
Transportation Information Center,1,0,1,Enterprise
Intermodal Customer System,1,0,1,Enterprise
Freight Distribution and Logistics Center,1,0,1,Enterprise
Freight Consolidation Station,1,1,1,Enterprise
Personal Information Device,1,1,1,Enterprise
Transit Management Center,1,0,1,Enterprise
Transit Vehicle OBE,1,1,0,Enterprise
Alternate Mode Transportation Center,1,0,1,Enterprise
Other Transit Management Centers,1,0,1,Enterprise
Emissions Management Center,1,0,1,Enterprise
Weather Service System,1,0,0,Enterprise
Surface Transportation Weather Service,1,0,0,Enterprise
Maint and Constr Vehicle OBE,1,1,0,Enterprise
Archived Data System,1,0,0,Enterprise
Enforcement Center,1,0,1,Enterprise
Wayside Equipment,1,1,0,Enterprise
Other MCV OBEs,1,1,0,Enterprise
Emergency Vehicle OBE,1,1,0,Enterprise
Other Traffic Management Centers,1,0,1,Enterprise
Financial Center,1,0,1,Enterprise
Payment Administration Center,1,0,1,Enterprise
ITS Roadway Payment Equipment,1,1,0,Enterprise
Event Promoter System,1,0,1,Enterprise
Payment Device,1,1,0,Enterprise
Electric Charging Station,1,1,0,Enterprise
DMV,1,0,1,Enterprise
Other Payment Administration Centers,1,0,1,Enterprise
Emergency Management Center,1,0,1,Enterprise
Other ITS Roadway Equipment,1,1,0,Enterprise
Other Emergency Management Centers,1,0,1,Enterprise
Shelter Provider Center,1,0,1,Enterprise
Travel Services Provider System,1,0,1,Enterprise
Public Health System,1,0,1,Enterprise
Rail Operations Center,1,0,1,Enterprise
Population and Housing Data System,1,0,0,Enterprise
Care Facility,1,1,1,Enterprise
Other EV OBEs,1,1,0,Enterprise
Emergency Telecommunications System,1,0,1,Enterprise
Parking Area Equipment,1,1,0,Enterprise
Traveler Support Equipment,1,1,1,Enterprise
Other Transportation Information Centers,1,0,1,Enterprise
Media,1,0,1,Enterprise
Social Media,1,0,1,Enterprise
Special Needs Registry,1,0,1,Enterprise
Border Inspection Administration Center,1,0,1,Enterprise
Border Inspection System,1,1,1,Enterprise
Commercial Vehicle Check Equipment,1,1,0,Enterprise
Commercial Vehicle Administration Center,1,0,1,Enterprise
Other CV Administration Centers,1,0,1,Enterprise
Center,1,0,1,Enterprise
Authorizing Center,1,0,1,Enterprise
Cooperative ITS Credentials Management System,1,0,1,Enterprise
Field Maintenance Equipment,1,1,0,Enterprise
Storage Facility Data Acquisition System,1,1,0,Enterprise
Maint and Constr Administrative Systems,1,0,1,Enterprise
Government Reporting Systems,1,0,1,Enterprise
Archived Data User System,1,0,1,Enterprise
Basic Transit Vehicle,1,1,1,Enterprise
Basic Emergency Vehicle,1,1,1,Enterprise
Basic Commercial Vehicle,1,1,1,Enterprise
Other Authorizing Centers,1,0,1,Enterprise
Traveler Card,1,1,1,Enterprise
Data Distribution System,1,0,0,Enterprise
Other Data Distribution Systems,1,0,0,Enterprise
Object Registration and Discovery System,1,0,0,Enterprise
Service Monitor System,1,0,0,Enterprise
Wide Area Information Disseminator System,1,0,1,Enterprise
Basic Maint and Constr Vehicle,1,1,1,Enterprise
Network Time Source,1,0,0,Enterprise
Other Freight Distribution and Logistics Centers,1,0,1,Enterprise
Other Credentials Management Systems,1,0,1,Enterprise
Security Credentials Registry,1,0,1,Enterprise
Commercial Vehicle Service Provider Center,1,0,1,Enterprise
Other Commercial Vehicle Service Provider Centers,1,0,1,Enterprise
On-Board Weight Monitoring Equipment,1,1,0,Enterprise
Other Map Update Systems,1,0,0,Enterprise
Security Monitoring Equipment,1,1,0,Enterprise
Traveler Information Voice System,1,0,1,Enterprise
Driver Identification Card,1,1,1,Enterprise
Multimodal Crossing Equipment,1,1,0,Enterprise
CVO Information Requestor Center,1,0,1,Enterprise
Other Archived Data Systems,1,0,0,Enterprise
Other Data Sources,1,0,0,Enterprise
Other Parking Management Centers,1,0,1,Enterprise
Other Maint and Constr Mgmt Centers,1,0,1,Enterprise
Asset Management System,1,0,0,Enterprise
Equipment Repair Facility,1,1,1,Enterprise
Alerting and Advisory System,1,0,0,Enterprise
Basic Vehicle,1,1,0,Enterprise
Position Corrections Source,1,1,0,Enterprise
Field,0,1,0,Enterprise
Vehicle Service Center,1,1,0,Enterprise
Support Maintenance Equipment,1,1,0,Enterprise
Other Connected Vehicle Roadside Equipment,1,1,0,Enterprise
Driver,0,0,1,Enterprise
Commercial Vehicle Driver,0,0,1,Enterprise
Fleet-Freight Manager,0,0,1,Enterprise
Transit Vehicle Operator,0,0,1,Enterprise
Transit Operations Personnel,0,0,1,Enterprise
Traffic Operations Personnel,0,0,1,Enterprise
TIC Operator,0,0,1,Enterprise
Maint and Constr Center Personnel,0,0,1,Enterprise
Maint and Constr Field Personnel,0,0,1,Enterprise
Pedestrian,0,0,1,Enterprise
Emergency Personnel,0,0,1,Enterprise
Emissions Management Operator,0,0,1,Enterprise
Payment Administrator,0,0,1,Enterprise
Emergency System Operator,0,0,1,Enterprise
Traveler,0,0,1,Enterprise
Commercial Vehicle Inspector,0,0,1,Enterprise
Data Distribution System Operator,0,0,1,Enterprise
Credentials Management System Operator,0,0,1,Enterprise
ORDS Operator,0,0,1,Enterprise
Service Monitor System Operator,0,0,1,Enterprise
MAP GIS Operator,0,0,1,Enterprise
Parking Operator,0,0,1,Enterprise
Archived Data Administrator,0,0,1,Enterprise
Cyclist,0,0,1,Enterprise
Commercial Vehicle Administrator,0,0,1,Enterprise
Center Personnel,0,0,1,Enterprise
Support Maintenance Personnel,0,0,1,Enterprise
Field System Operator,0,0,1,Enterprise
Alerting and Advisory System Owner,0,0,1,Enterprise
