NodeName,SecurityClass,Confidentiality,Integrity,Availability,ServicePackage
Driver,,,,,Mayday Notification
Vehicle,Class 3,Moderate,High,Moderate,Mayday Notification
Other Vehicles,Class 3,Moderate,High,Moderate,Mayday Notification
Personal Information Device,Class 3,Moderate,High,Moderate,Mayday Notification
Enforcement Center,Class 2,Moderate,Moderate,Low,Mayday Notification
Emergency Management Center,Class 4,High,High,Moderate,Mayday Notification
Other Emergency Management Centers,Class 4,High,High,Moderate,Mayday Notification
Emergency System Operator,,,,,Mayday Notification
Traveler,,,,,Mayday Notification
Basic Vehicle,,,,,Mayday Notification
Other PIDs,Class 3,Moderate,High,Moderate,Mayday Notification
Traffic Management Center,Class 1,Not Applicable,Low,Low,Border Management Systems
Connected Vehicle Roadside Equipment,Class 1,Low,Moderate,Moderate,Border Management Systems
Transportation Information Center,Class 1,Low,Low,Low,Border Management Systems
Personal Information Device,Class 2,Moderate,Moderate,Moderate,Border Management Systems
Border Inspection Administration Center,Class 3,Moderate,High,Moderate,Border Management Systems
Border Inspection System,Class 5,High,High,High,Border Management Systems
Traveler Card,Class 5,High,Moderate,High,Border Management Systems
Light Vehicle OBE,Class 5,High,High,High,Border Management Systems
Light Vehicle Driver,,,,,Border Management Systems
Driver,,,,,V2V Basic Safety
Vehicle,Class 3,Low,High,Moderate,V2V Basic Safety
Other Vehicles,Class 3,Low,High,Moderate,V2V Basic Safety
Basic Vehicle,,,,,V2V Basic Safety
Vehicle Characteristics,,,,,V2V Basic Safety
Roadway Environment,Class 1,Not Applicable,Low,Low,V2V Basic Safety
Potential Obstacles,,,,,V2V Basic Safety
Vulnerable Road Users,,,,,V2V Basic Safety
Driver,,,,,Cooperative Adaptive Cruise Control
Vehicle,Class 3,Low,High,Moderate,Cooperative Adaptive Cruise Control
Other Vehicles,Class 3,Low,High,Moderate,Cooperative Adaptive Cruise Control
Basic Vehicle,,,,,Cooperative Adaptive Cruise Control
Vehicle Characteristics,,,,,Cooperative Adaptive Cruise Control
Roadway Environment,Class 1,Not Applicable,Low,Low,Cooperative Adaptive Cruise Control
Potential Obstacles,,,,,Cooperative Adaptive Cruise Control
Vulnerable Road Users,,,,,Cooperative Adaptive Cruise Control
Center,Class 5,High,High,High,Core Authorization
Authorizing Center,Class 5,High,High,High,Core Authorization
Cooperative ITS Credentials Management System,Class 4,High,High,Moderate,Core Authorization
Other Authorizing Centers,Class 4,High,High,Moderate,Core Authorization
ITS Object,Class 4,High,High,Moderate,Core Authorization
Identifier Registry,Class 3,Low,High,Low,Core Authorization
Other Identifier Registries,Class 3,Low,High,Low,Core Authorization
Driver,,,,,Curve Speed Warning
Vehicle,Class 1,Low,Moderate,Moderate,Curve Speed Warning
Traffic Management Center,Class 3,Moderate,High,Moderate,Curve Speed Warning
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Curve Speed Warning
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Curve Speed Warning
Basic Vehicle,,,,,Curve Speed Warning
Vehicle Characteristics,,,,,Curve Speed Warning
Roadway Environment,Class 1,Not Applicable,Low,Low,Curve Speed Warning
Data Distribution System,Class 4,High,High,Moderate,Data Distribution
Other Data Distribution Systems,Class 4,High,High,Moderate,Data Distribution
Data Distribution System Operator,,,,,Data Distribution
ITS Object,Class 4,High,High,Moderate,Data Distribution
Transportation Information Center,Class 4,High,High,Moderate,Shared Use Mobility and Dynamic Ridesharing
Personal Information Device,Class 5,High,High,High,Shared Use Mobility and Dynamic Ridesharing
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Shared Use Mobility and Dynamic Ridesharing
TIC Operator,,,,,Shared Use Mobility and Dynamic Ridesharing
Financial Center,Class 2,Moderate,Moderate,Moderate,Shared Use Mobility and Dynamic Ridesharing
Payment Device,Class 5,Moderate,Moderate,High,Shared Use Mobility and Dynamic Ridesharing
Traveler,,,,,Shared Use Mobility and Dynamic Ridesharing
Traveler Support Equipment,Class 5,Moderate,Moderate,High,Shared Use Mobility and Dynamic Ridesharing
Shared Use Transportation Center,Class 4,High,High,Moderate,Shared Use Mobility and Dynamic Ridesharing
Micromobility Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Shared Use Mobility and Dynamic Ridesharing
SUTC Operator,,,,,Shared Use Mobility and Dynamic Ridesharing
