InformationFlowName,Confidentiality,Integrity,Availability,FIPSsStandard
transit vehicle operator signal indications,Not Applicable,High,Moderate,TRUE
detected unequipped vehicles and VRUs,Not Applicable,High,Moderate,TRUE
detected obstacles,Not Applicable,High,Moderate,TRUE
detected unequipped vehicles and VRUs,Not Applicable,High,Moderate,TRUE
detected obstacles,Not Applicable,High,Moderate,TRUE
vehicle maneuver coordination,Low,High,Low,TRUE
detected unequipped vehicles and VRUs,Not Applicable,High,Moderate,TRUE
special vehicle alert,Moderate,High,Moderate,TRUE
special vehicle alert,Moderate,High,Moderate,TRUE
special vehicle alert,Moderate,High,Moderate,TRUE
special vehicle alert,Moderate,High,Moderate,TRUE
vehicle maneuver coordination,Low,High,Low,TRUE
transit maintenance schedules,Low,Moderate,Moderate,TRUE
detected obstacles,Not Applicable,High,Moderate,TRUE
detected unequipped vehicles and VRUs,Not Applicable,High,Moderate,TRUE
detected unequipped vehicles and VRUs,Not Applicable,High,Moderate,TRUE
detected unequipped vehicles and VRUs,Not Applicable,High,Moderate,TRUE
detected unequipped vehicles and VRUs,Not Applicable,High,Moderate,TRUE
vehicle maneuver coordination,Low,High,Low,TRUE
detected obstacles,Not Applicable,High,Moderate,TRUE
detected unequipped vehicles and VRUs,Not Applicable,High,Moderate,TRUE
detected unequipped vehicles and VRUs,Not Applicable,High,Moderate,TRUE
detected obstacles,Not Applicable,High,Moderate,TRUE
detected obstacles,Not Applicable,High,Moderate,TRUE
special vehicle alert,Not Applicable,High,Moderate,TRUE
incident information for public,Low,Moderate,Moderate,TRUE
low emissions zone operations information for public,Low,Moderate,Moderate,TRUE
incident information for public,Low,Moderate,Moderate,TRUE
incident information for public,Low,Moderate,Moderate,TRUE
border clearance event records,Moderate,Moderate,Moderate,TRUE
incident information for public,Low,Moderate,Moderate,TRUE
incident information for public,Low,Moderate,Moderate,TRUE
evacuation assistance information,Low,High,Moderate,TRUE
shelter recommendations,Low,Moderate,Moderate,TRUE
broadcast traveler information,Not Applicable,Moderate,Low,TRUE
road weather advisories,Low,High,Moderate,TRUE
trip plan,Moderate,Moderate,Moderate,TRUE
emergency traveler information,Low,High,Moderate,TRUE
