NodeName,SecurityClass,Confidentiality,Integrity,Availability,ServicePackage,ArchitectyreType
Driver,,,,,Mayday Notification,Physical
Vehicle,Class 3,Moderate,High,Moderate,Mayday Notification,Physical
Other Vehicles,Class 3,Moderate,High,Moderate,Mayday Notification,Physical
Personal Information Device,Class 3,Moderate,High,Moderate,Mayday Notification,Physical
Enforcement Center,Class 2,Moderate,Moderate,Low,Mayday Notification,Physical
Emergency Management Center,Class 4,High,High,Moderate,Mayday Notification,Physical
Other Emergency Management Centers,Class 4,High,High,Moderate,Mayday Notification,Physical
Emergency System Operator,,,,,Mayday Notification,Physical
Traveler,,,,,Mayday Notification,Physical
Basic Vehicle,,,,,Mayday Notification,Physical
Other PIDs,Class 3,Moderate,High,Moderate,Mayday Notification,Physical
Traffic Management Center,Class 1,Not Applicable,Low,Low,Border Management Systems,Physical
Connected Vehicle Roadside Equipment,Class 1,Low,Moderate,Moderate,Border Management Systems,Physical
Transportation Information Center,Class 1,Low,Low,Low,Border Management Systems,Physical
Personal Information Device,Class 2,Moderate,Moderate,Moderate,Border Management Systems,Physical
Border Inspection Administration Center,Class 3,Moderate,High,Moderate,Border Management Systems,Physical
Border Inspection System,Class 5,High,High,High,Border Management Systems,Physical
Traveler Card,Class 5,High,Moderate,High,Border Management Systems,Physical
Light Vehicle OBE,Class 5,High,High,High,Border Management Systems,Physical
Light Vehicle Driver,,,,,Border Management Systems,Physical
Driver,,,,,V2V Basic Safety,Physical
Vehicle,Class 3,Low,High,Moderate,V2V Basic Safety,Physical
Other Vehicles,Class 3,Low,High,Moderate,V2V Basic Safety,Physical
Basic Vehicle,,,,,V2V Basic Safety,Physical
Vehicle Characteristics,,,,,V2V Basic Safety,Physical
Roadway Environment,Class 1,Not Applicable,Low,Low,V2V Basic Safety,Physical
Potential Obstacles,,,,,V2V Basic Safety,Physical
Vulnerable Road Users,,,,,V2V Basic Safety,Physical
Driver,,,,,Cooperative Adaptive Cruise Control,Physical
Vehicle,Class 3,Low,High,Moderate,Cooperative Adaptive Cruise Control,Physical
Other Vehicles,Class 3,Low,High,Moderate,Cooperative Adaptive Cruise Control,Physical
Basic Vehicle,,,,,Cooperative Adaptive Cruise Control,Physical
Vehicle Characteristics,,,,,Cooperative Adaptive Cruise Control,Physical
Roadway Environment,Class 1,Not Applicable,Low,Low,Cooperative Adaptive Cruise Control,Physical
Potential Obstacles,,,,,Cooperative Adaptive Cruise Control,Physical
Vulnerable Road Users,,,,,Cooperative Adaptive Cruise Control,Physical
Center,Class 5,High,High,High,Core Authorization,Physical
Authorizing Center,Class 5,High,High,High,Core Authorization,Physical
Cooperative ITS Credentials Management System,Class 4,High,High,Moderate,Core Authorization,Physical
Other Authorizing Centers,Class 4,High,High,Moderate,Core Authorization,Physical
ITS Object,Class 4,High,High,Moderate,Core Authorization,Physical
Identifier Registry,Class 3,Low,High,Low,Core Authorization,Physical
Other Identifier Registries,Class 3,Low,High,Low,Core Authorization,Physical
Driver,,,,,Curve Speed Warning,Physical
Vehicle,Class 1,Low,Moderate,Moderate,Curve Speed Warning,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,Curve Speed Warning,Physical
