InformationFlowName,Confidentiality,Integrity,Availability,FIPSsStandard
driver to fleet request,High,Moderate,Moderate,TRUE
on-board safety data,High,High,Moderate,TRUE
on-board vehicle data,Moderate,Moderate,Moderate,TRUE
trip log,Moderate,Moderate,Moderate,TRUE
commercial vehicle location data,Moderate,Moderate,Moderate,TRUE
cv driver safety status,Moderate,High,Moderate,TRUE
trip log information,Moderate,Moderate,Moderate,TRUE
cv driver safety alert,Low,High,High,TRUE
fleet to driver update,High,Moderate,Moderate,TRUE
fleet status,Moderate,High,High,TRUE
cv repair status,Moderate,Moderate,Low,TRUE
road network conditions,Low,Moderate,Moderate,TRUE
incident information for public,Low,Moderate,Moderate,TRUE
cv driver input,Moderate,Moderate,Moderate,TRUE
fleet manager inquiry,Moderate,High,High,TRUE
credentials status information,High,Moderate,Moderate,TRUE
cv driver record,High,High,Moderate,TRUE
route restrictions,Low,Moderate,Low,TRUE
host commercial vehicle status,Moderate,Moderate,Moderate,TRUE
location and time,Moderate,High,High,TRUE
