InformationFlowName,Confidentiality,Integrity,Availability,FIPSsStandard
commercial vehicle location data,Moderate,Moderate,Moderate,TRUE
hazmat notification,Moderate,High,High,TRUE
commercial vehicle location data,Moderate,Moderate,Moderate,TRUE
freight equipment information,Moderate,Moderate,Moderate,TRUE
hazmat notification,High,High,High,TRUE
hazmat information request,Moderate,Moderate,Moderate,TRUE
hazmat information,High,High,High,TRUE
commercial vehicle location data,Moderate,Moderate,Moderate,TRUE
hazmat information,High,High,High,TRUE
hazmat notification,High,High,High,TRUE
freight equipment information,Moderate,Moderate,Moderate,TRUE
freight equipment information,Moderate,Moderate,Moderate,TRUE
