NodeName,SecurityClass,Confidentiality,Integrity,Availability,ServicePackage,ArchitectyreType
Bangkok Emergency Management Center,Class 5,High,High,High,HAZMAT Management,Physical
Pnom Pehn Emergency Management Center,Class 5,High,High,High,HAZMAT Management,Physical
Khorathidin Regional Emergency Management Center,Class 5,High,High,High,HAZMAT Management,Physical
Chao Phraya Imports Fleet and Freight Management Center,Class 5,High,High,High,HAZMAT Management,Physical
Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Class 5,High,High,High,HAZMAT Management,Physical
Klongtoey Movements Pty Ltd Fleet and Freight Management Center,Class 5,High,High,High,HAZMAT Management,Physical
Buri Ram Logistics Solutions Fleet and Freight Management Center,Class 5,High,High,High,HAZMAT Management,Physical
Bassac Traders Inc. Fleet and Freight Management Center,Class 5,High,High,High,HAZMAT Management,Physical
Khorathidin Petroleum Fleet and Freight Management Center,Class 5,High,High,High,HAZMAT Management,Physical
CPI V01 EQ01 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
CPI V02 EQ02 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
CPI V03 EQ03 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
CPI V04 EQ04 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
CPI V05 EQ05 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
CPI V06 EQ06 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KWP Sensor 01 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KWP Sensor 02 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KWP Sensor 03 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KWP Sensor 04 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KWP Sensor 05 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KWP Sensor 06 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KWP Sensor 07 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KWP Sensor 08 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KWP Sensor 09 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KWP Sensor 10 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KM01 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KM02 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KM03 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KM04 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KM05 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KM06 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KM07 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KM08 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KM09 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KM10 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KM11 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KM12 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KM13 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KM14 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KM15 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
BRLS0001 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
BRLS0002 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
BRLS0003 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
BRLS0003 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
BRLS0005 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
BRLS0006 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
BRLS0007 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
BRLS0008 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
BRLS0009 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
BRLS0010 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
BasSen01 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
BasSen02 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
BasSen03 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
BasSen04 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
BasSen05 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
BasSen06 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
BasSen07 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
BasSen08 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
BasSen 09 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
BasSen10 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
BasSen11 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
BasSen12 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KPetrol Mon 001 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KPetrol Mon 002 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KPetrol Mon 003 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KPetrol Mon 004 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KPetrol Mon 005 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KPetrol Mon 006 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KPetrol Mon 007 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KPetrol Mon 008 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KPetrol Mon 009 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KPetrol Mon 010 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KPetrol Mon 011 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KPetrol Mon 012 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KPetrol Mon 013 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KPetrol Mon 014 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KPetrol Mon 015 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KPetrol Mon 016 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KPetrol Mon 017 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KPetrol Mon 018 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KPetrol Mon 019 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
KPetrol Mon 020 - Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
CP Container 01 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
CP Container 02 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
CP Container 03 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
CP Container 04 - Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
