NodeName,isCyber,isPhysical,isSocial,ArchitectureLayer
Bangkok Emergency Management Center,1,1,0,Physical
Pnom Pehn Emergency Management Center,1,1,0,Physical
Khorathidin Regional Emergency Management Center,1,1,0,Physical
Bangkok Ambulance 01 - Emergency Vehicle OBE,1,1,0,Physical
Bangkok Ambulance 02 - Emergency Vehicle OBE,1,1,0,Physical
Bangkok Ambulance 03 - Emergency Vehicle OBE,1,1,0,Physical
Bangkok Police 01 - Emergency Vehicle OBE,1,1,0,Physical
Bangkok Police 02 - Emergency Vehicle OBE,1,1,0,Physical
Bangkok Police 03 - Emergency Vehicle OBE,1,1,0,Physical
Bangkok Police 04 - Emergency Vehicle OBE,1,1,0,Physical
Bangkok Police 05 - Emergency Vehicle OBE,1,1,0,Physical
Bangkok Fire 01 - Emergency Vehicle OBE,1,1,0,Physical
Bangkok Fire 02 - Emergency Vehicle OBE,1,1,0,Physical
Pnom Pehn Ambulance 01 - Emergency Vehicle OBE,1,1,0,Physical
Pnom Pehn Ambulance 02 - Emergency Vehicle OBE,1,1,0,Physical
Pnom Pehn Police 01 - Emergency Vehicle OBE,1,1,0,Physical
Pnom Pehn Police 02 - Emergency Vehicle OBE,1,1,0,Physical
Pnom Pehn Police 03 - Emergency Vehicle OBE,1,1,0,Physical
Pnom Pehn Fire 01 - Emergency Vehicle OBE,1,1,0,Physical
Pnom Pehn Fire 02 - Emergency Vehicle OBE,1,1,0,Physical
Khorathidin Regional Ambulance 01 - Emergency Vehicle OBE,1,1,0,Physical
Khorathidin Regional Ambulance 02 - Emergency Vehicle OBE,1,1,0,Physical
Khorathidin Regional Ambulance 03 - Emergency Vehicle OBE,1,1,0,Physical
Khorathidin Regional Ambulance 04 - Emergency Vehicle OBE,1,1,0,Physical
Khorathidin Regional Ambulance 05 - Emergency Vehicle OBE,1,1,0,Physical
Khorathidin Regional Ambulance 06 - Emergency Vehicle OBE,1,1,0,Physical
Khorathidin Regional Police 01 - Emergency Vehicle OBE,1,1,0,Physical
Khorathidin Regional Police 02 - Emergency Vehicle OBE,1,1,0,Physical
Khorathidin Regional Police 03 - Emergency Vehicle OBE,1,1,0,Physical
Khorathidin Regional Fire 01 - Emergency Vehicle OBE,1,1,0,Physical
Khorathidin Regional Fire 02 - Emergency Vehicle OBE,1,1,0,Physical
Khorathidin Regional Fire 03 - Emergency Vehicle OBE,1,1,0,Physical
Khorathidin Regional Fire 04 - Emergency Vehicle OBE,1,1,0,Physical
Kittipong Suthamchai - Emergency System Operator,0,1,1,Physical
Nattaporn Rattanapong - Emergency System Operator,0,1,1,Physical
Sasithorn Boonyasiri - Emergency System Operator,0,1,1,Physical
Worachai Kanchanarat - Emergency System Operator,0,1,1,Physical
Pimnara Chotiphan - Emergency System Operator,0,1,1,Physical
Anusorn Wattanachai - Emergency System Operator,0,1,1,Physical
Jirapat Srisuwan - Emergency System Operator,0,1,1,Physical
Lalita Phanichkul - Emergency System Operator,0,1,1,Physical
Thanawat Thongprasert - Emergency System Operator,0,1,1,Physical
Oranuch Siripong - Emergency System Operator,0,1,1,Physical
357192084561234 Galaxy S25 Ultra - Personnel Device,1,1,0,Physical
864209153782145 iPhone 16 Pro Max - Personnel Device,1,1,0,Physical
351984206713589 Pixel 9 XL - Personnel Device,1,1,0,Physical
864512309876231 Xperia Z7 - Personnel Device,1,1,0,Physical
352091847563210 OnePlus 13T - Personnel Device,1,1,0,Physical
861234509876543 Redmi Note 15 Pro - Personnel Device,1,1,0,Physical
359876120345678 Moto G100 - Personnel Device,1,1,0,Physical
864209875612340 Nokia X50 - Personnel Device,1,1,0,Physical
352098761234567 Huawei P60 Pro - Personnel Device,1,1,0,Physical
861234567890123 Oppo Find X7 - Personnel Device,1,1,0,Physical
352091234567890 Vivo X90 - Personnel Device,1,1,0,Physical
861234098765432 Realme GT Neo 6 - Personnel Device,1,1,0,Physical
352098765432109 Asus ROG Phone 8 - Personnel Device,1,1,0,Physical
861234567809876 Lenovo Legion Y90 - Personnel Device,1,1,0,Physical
352091234098765 Honor Magic 6 - Personnel Device,1,1,0,Physical
861234567801234 ZTE Axon 50 - Personnel Device,1,1,0,Physical
352098765401234 BlackBerry Key5 - Personnel Device,1,1,0,Physical
861234567890124 HTC U23 Pro - Personnel Device,1,1,0,Physical
352091234567801 Sony Xperia 1 VI - Personnel Device,1,1,0,Physical
861234567890125 LG Velvet 2 - Personnel Device,1,1,0,Physical
352098765432101 Meizu 20 Pro - Personnel Device,1,1,0,Physical
861234567890126 Sharp Aquos R8 - Personnel Device,1,1,0,Physical
352091234567802 Micromax Infinity 5 - Personnel Device,1,1,0,Physical
861234567890127 Infinix Zero Ultra - Personnel Device,1,1,0,Physical
352098765432102 Tecno Phantom X3 - Personnel Device,1,1,0,Physical
861234567890128 Itel Vision 5 - Personnel Device,1,1,0,Physical
352091234567803 Lava Agni 3 - Personnel Device,1,1,0,Physical
861234567890129 Coolpad Legacy 2 - Personnel Device,1,1,0,Physical
352098765432103 Alcatel 5X - Personnel Device,1,1,0,Physical
861234567890130 Fairphone 5 - Personnel Device,1,1,0,Physical
352091234567804 Cat S65 - Personnel Device,1,1,0,Physical
861234567890131 Doogee S100 - Personnel Device,1,1,0,Physical
352098765432104 Ulefone Armor 15 - Personnel Device,1,1,0,Physical
861234567890132 BLU G91 Max - Personnel Device,1,1,0,Physical
352091234567805 Kyocera DuraForce Ultra - Personnel Device,1,1,0,Physical
861234567890133 Palm Phone 2 - Personnel Device,1,1,0,Physical
352098765432105 Google Pixel Fold - Personnel Device,1,1,0,Physical
861234567890134 Samsung Galaxy Z Flip 6 - Personnel Device,1,1,0,Physical
352091234567806 Motorola Razr 2025 - Personnel Device,1,1,0,Physical
861234567890135 Xiaomi Mi Mix 5 - Personnel Device,1,1,0,Physical
351982104567890 Galaxy S26 Ultra - Personnel Device,1,1,0,Physical
