NodeName,isCyber,isPhysical,isSocial,ArchitectureLayer
Phnom Penh Traffic Management Center,1,1,0,Physical
Bangkok Traffic Management Center,1,1,0,Physical
Phnom Penh North-East Crossing Roadway Equipment,1,1,0,Physical
Phnom Penh Riverside Crossing Roadway Equipment,1,1,0,Physical
Bangkok South-East Crossing Roadway Equipment,1,1,0,Physical
Bangkok Central Line Crossing Roadway Equipment,1,1,0,Physical
Phnom Penh Rail Operations Center,1,1,0,Physical
Bangkok Rail Operations Center,1,1,0,Physical
Khorathidin Transportation Information Center,1,1,0,Physical
Bangkok Chon Buri Interchange Crossing Roadway Equipment,1,1,0,Physical
Chao Phraya Imports Commercial Vehicle Administration Center,1,1,0,Physical
Khorathidin Wholegrains and Producers Commercial Vehicle Administration Center,1,1,0,Physical
Klongtoey Movements Pty Ltd Commercial Vehicle Administration Center,1,1,0,Physical
Buri Ram Logistics Solutions Commercial Vehicle Administration Center,1,1,0,Physical
Bassac Traders Inc. Commercial Vehicle Administration Center,1,1,0,Physical
Khorathidin Petroleum Commercial Vehicle Administration Center,1,1,0,Physical
Khorathidin Transportation Information Center,1,1,0,Physical
Chao Phraya Imports Fleet and Freight Management Center,1,1,0,Physical
Khorathidin Wholegrains and Producers Fleet and Freight Management Center,1,1,0,Physical
Klongtoey Movements Pty Ltd Fleet and Freight Management Center,1,1,0,Physical
Buri Ram Logistics Solutions Fleet and Freight Management Center,1,1,0,Physical
Bassac Traders Inc. Fleet and Freight Management Center,1,1,0,Physical
Khorathidin Petroleum Fleet and Freight Management Center,1,1,0,Physical
Ananda Chaisuriyakul - Fleet-Freight Manager,0,1,1,Physical
Supalak Wattanachai - Fleet-Freight Manager,0,1,1,Physical
Kritsada Thongchai - Fleet-Freight Manager,0,1,1,Physical
Napat Srisuwan - Fleet-Freight Manager,0,1,1,Physical
Pimchanok Boonyarat - Fleet-Freight Manager,0,1,1,Physical
Thanakorn Rattanapong - Fleet-Freight Manager,0,1,1,Physical
CPI V01 EQ01 - Commercial Vehicle OBE,1,1,0,Physical
CPI V02 EQ02 - Commercial Vehicle OBE,1,1,0,Physical
CPI V03 EQ03 - Commercial Vehicle OBE,1,1,0,Physical
CPI V04 EQ04 - Commercial Vehicle OBE,1,1,0,Physical
CPI V05 EQ05 - Commercial Vehicle OBE,1,1,0,Physical
CPI V06 EQ06 - Commercial Vehicle OBE,1,1,0,Physical
KWP Sensor 01 - Commercial Vehicle OBE,1,1,0,Physical
KWP Sensor 02 - Commercial Vehicle OBE,1,1,0,Physical
