NodeName,SecurityClass,Confidentiality,Integrity,Availability,ServicePackage,ArchitectyreType
Phnom Penh Traffic Management Center,Class 3,Moderate,High,Moderate,TM15 Railroad Operations Coordination,Physical
Bangkok Traffic Management Center,Class 3,Moderate,High,Moderate,TM15 Railroad Operations Coordination,Physical
Phnom Penh North-East Crossing Roadway Equipment,Class 2,Moderate,Moderate,Moderate,TM15 Railroad Operations Coordination,Physical
Phnom Penh Riverside Crossing Roadway Equipment,Class 2,Moderate,Moderate,Moderate,TM15 Railroad Operations Coordination,Physical
Bangkok South-East Crossing Roadway Equipment,Class 2,Moderate,Moderate,Moderate,TM15 Railroad Operations Coordination,Physical
Bangkok Central Line Crossing Roadway Equipment,Class 2,Moderate,Moderate,Moderate,TM15 Railroad Operations Coordination,Physical
Phnom Penh Rail Operations Center,Class 2,Moderate,Moderate,Moderate,TM15 Railroad Operations Coordination,Physical
Bangkok Rail Operations Center,Class 2,Moderate,Moderate,Moderate,TM15 Railroad Operations Coordination,Physical
Khorathidin Transportation Information Center,Class 1,Low,Low,Moderate,TM15 Railroad Operations Coordination,Physical
Bangkok Chon Buri Interchange Crossing Roadway Equipment,Class 2,Moderate,Moderate,Moderate,TM15 Railroad Operations Coordination,Physical
Chao Phraya Imports Commercial Vehicle Administration Center,Class 4,High,High,Moderate,Carrier Operations and Fleet Management,Physical
Khorathidin Wholegrains and Producers Commercial Vehicle Administration Center,Class 4,High,High,Moderate,Carrier Operations and Fleet Management,Physical
Klongtoey Movements Pty Ltd Commercial Vehicle Administration Center,Class 4,High,High,Moderate,Carrier Operations and Fleet Management,Physical
Buri Ram Logistics Solutions Commercial Vehicle Administration Center,Class 4,High,High,Moderate,Carrier Operations and Fleet Management,Physical
Bassac Traders Inc. Commercial Vehicle Administration Center,Class 4,High,High,Moderate,Carrier Operations and Fleet Management,Physical
Khorathidin Petroleum Commercial Vehicle Administration Center,Class 4,High,High,Moderate,Carrier Operations and Fleet Management,Physical
Khorathidin Transportation Information Center,Class 1,Low,Moderate,Moderate,Carrier Operations and Fleet Management,Physical
Chao Phraya Imports Fleet and Freight Management Center,Class 4,High,High,Moderate,Carrier Operations and Fleet Management,Physical
Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Class 4,High,High,Moderate,Carrier Operations and Fleet Management,Physical
Klongtoey Movements Pty Ltd Fleet and Freight Management Center,Class 4,High,High,Moderate,Carrier Operations and Fleet Management,Physical
Buri Ram Logistics Solutions Fleet and Freight Management Center,Class 4,High,High,Moderate,Carrier Operations and Fleet Management,Physical
Bassac Traders Inc. Fleet and Freight Management Center,Class 4,High,High,Moderate,Carrier Operations and Fleet Management,Physical
Khorathidin Petroleum Fleet and Freight Management Center,Class 4,High,High,Moderate,Carrier Operations and Fleet Management,Physical
Ananda Chaisuriyakul - Fleet-Freight Manager,,,,,Carrier Operations and Fleet Management,Physical
Supalak Wattanachai - Fleet-Freight Manager,,,,,Carrier Operations and Fleet Management,Physical
Kritsada Thongchai - Fleet-Freight Manager,,,,,Carrier Operations and Fleet Management,Physical
Napat Srisuwan - Fleet-Freight Manager,,,,,Carrier Operations and Fleet Management,Physical
Pimchanok Boonyarat - Fleet-Freight Manager,,,,,Carrier Operations and Fleet Management,Physical
Thanakorn Rattanapong - Fleet-Freight Manager,,,,,Carrier Operations and Fleet Management,Physical
CPI V01 EQ01 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
CPI V02 EQ02 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
CPI V03 EQ03 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
CPI V04 EQ04 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
CPI V05 EQ05 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
CPI V06 EQ06 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
KWP Sensor 01 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
KWP Sensor 02 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
KWP Sensor 03 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
KWP Sensor 04 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
KWP Sensor 05 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
KWP Sensor 06 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
KWP Sensor 07 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
KWP Sensor 08 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
KWP Sensor 09 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
KWP Sensor 10 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
KM01 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
KM02 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
KM03 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
KM04 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
KM05 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
KM06 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
KM07 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
KM08 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
KM09 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
KM10 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
KM11 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
KM12 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
KM13 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
KM14 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
KM15 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
BRLS0001 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
BRLS0002 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
BRLS0003 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
BRLS0003 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
BRLS0005 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
BRLS0006 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
BRLS0007 - Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
