NodeName,SecurityClass,Confidentiality,Integrity,Availability,ServicePackage,ArchitectyreType
Phnom Penh Traffic Management Center,Class 3,Moderate,High,Moderate,TM15 Railroad Operations Coordination,Physical
Bangkok Traffic Management Center,Class 3,Moderate,High,Moderate,TM15 Railroad Operations Coordination,Physical
Phnom Penh North-East Crossing Roadway Equipment,Class 2,Moderate,Moderate,Moderate,TM15 Railroad Operations Coordination,Physical
Phnom Penh Riverside Crossing Roadway Equipment,Class 2,Moderate,Moderate,Moderate,TM15 Railroad Operations Coordination,Physical
Bangkok South-East Crossing Roadway Equipment,Class 2,Moderate,Moderate,Moderate,TM15 Railroad Operations Coordination,Physical
Bangkok Central Line Crossing Roadway Equipment,Class 2,Moderate,Moderate,Moderate,TM15 Railroad Operations Coordination,Physical
Phnom Penh Rail Operations Center,Class 2,Moderate,Moderate,Moderate,TM15 Railroad Operations Coordination,Physical
Bangkok Rail Operations Center,Class 2,Moderate,Moderate,Moderate,TM15 Railroad Operations Coordination,Physical
Khorathidin Transportation Information Center,Class 1,Low,Low,Moderate,TM15 Railroad Operations Coordination,Physical
Bangkok Chon Buri Interchange Crossing Roadway Equipment,Class 2,Moderate,Moderate,Moderate,TM15 Railroad Operations Coordination,Physical
