NodeName,isCyber,isPhysical,isSocial,ArchitectureLayer
Phnom Penh Traffic Management Center,1,1,0,Physical
Bangkok Traffic Management Center,1,1,0,Physical
Phnom Penh North-East Crossing Roadway Equipment,1,1,0,Physical
Phnom Penh Riverside Crossing Roadway Equipment,1,1,0,Physical
Bangkok South-East Crossing Roadway Equipment,1,1,0,Physical
Bangkok Central Line Crossing Roadway Equipment,1,1,0,Physical
Phnom Penh Rail Operations Center,1,1,0,Physical
Bangkok Rail Operations Center,1,1,0,Physical
Khorathidin Transportation Information Center,1,1,0,Physical
Bangkok Chon Buri Interchange Crossing Roadway Equipment,1,1,0,Physical
