InformationFlowName,Confidentiality,Integrity,Availability,FIPSsStandard
emergency personnel information presentation,Moderate,Moderate,Moderate,TRUE
incident scene status,Moderate,Moderate,Moderate,TRUE
incident scene images,Moderate,Moderate,Moderate,TRUE
patient transport status,High,High,High,TRUE
decision support information,Moderate,Moderate,Moderate,TRUE
emergency personnel input,Moderate,Moderate,Moderate,TRUE
personnel input,Low,Moderate,Low,TRUE
incident command information coordination,Moderate,Moderate,Moderate,TRUE
emergency operations status,Moderate,High,High,TRUE
incident command information,Moderate,Moderate,Moderate,TRUE
emergency operations input,Moderate,High,High,TRUE
personnel location,Not Applicable,High,Moderate,TRUE
personnel updates,Low,High,Moderate,TRUE
incident command input,Moderate,Moderate,Moderate,TRUE
