NodeName,SecurityClass,Confidentiality,Integrity,Availability,ServicePackage,ArchitectyreType
Khorathidin Central Emergency Vehicle OBE 01,Class 5,High,High,High,Emergency Response,Physical
Khorathindin Central Emergency Personnel 01,,,,,Emergency Response,Physical
Khorathidin Central Emergency Management Center,Class 5,High,High,High,Emergency Response,Physical
Other Emergency Management Centers,Class 2,Moderate,Moderate,Moderate,Emergency Response,Physical
Khorathidin Central Emergency System Operator 01,,,,,Emergency Response,Physical
Other EV OBEs,Class 2,Moderate,Moderate,Moderate,Emergency Response,Physical
Bangkok Emergency Management Center,Class 5,High,High,High,Emergency Response,Physical
Phnom Penh Emergency Management Center,Class 2,Moderate,Moderate,Moderate,Emergency Response,Physical
Samut Prakan Emergency Management Center,Class 2,Moderate,Moderate,Moderate,Emergency Response,Physical
Nonthaburi Emergency Management Center,Class 2,Moderate,Moderate,Moderate,Emergency Response,Physical
Chiang Mai Emergency Management Center,Class 2,Moderate,Moderate,Moderate,Emergency Response,Physical
Khorathidin Central Emergency System Operator 02,,,,,Emergency Response,Physical
Khorathidin Central Emergency System Operator 03,,,,,Emergency Response,Physical
Khorathidin Central Emergency System Operator 04,,,,,Emergency Response,Physical
Khorathidin Central Emergency System Operator 05,,,,,Emergency Response,Physical
Bangkok Emergency System Operator 01,,,,,Emergency Response,Physical
Bangkok Emergency System Operator 02,,,,,Emergency Response,Physical
Bangkok Emergency System Operator 03,,,,,Emergency Response,Physical
Bangkok Emergency System Operator 04,,,,,Emergency Response,Physical
Bangkok Emergency System Operator 05,,,,,Emergency Response,Physical
Khorathidin Central Emergency Vehicle OBE 02,Class 5,High,High,High,Emergency Response,Physical
Khorathidin Central Emergency Vehicle OBE 03,Class 5,High,High,High,Emergency Response,Physical
Khorathidin Central Emergency Vehicle OBE 04,Class 5,High,High,High,Emergency Response,Physical
Khorathidin Central Emergency Vehicle OBE 05,Class 5,High,High,High,Emergency Response,Physical
Khorathidin Central Emergency Vehicle OBE 06,Class 5,High,High,High,Emergency Response,Physical
Khorathidin Central Emergency Vehicle OBE 07,Class 5,High,High,High,Emergency Response,Physical
Khorathidin Central Emergency Vehicle OBE 08,Class 5,High,High,High,Emergency Response,Physical
Khorathidin Central Emergency Vehicle OBE 09,Class 5,High,High,High,Emergency Response,Physical
Khorathidin Central Emergency Vehicle OBE 10,Class 5,High,High,High,Emergency Response,Physical
Khorathidin Central Emergency Vehicle OBE 11,Class 5,High,High,High,Emergency Response,Physical
Khorathidin Central Emergency Vehicle OBE 12,Class 5,High,High,High,Emergency Response,Physical
Khorathidin Central Emergency Vehicle OBE 13,Class 5,High,High,High,Emergency Response,Physical
Khorathidin Central Emergency Vehicle OBE 14,Class 5,High,High,High,Emergency Response,Physical
Khorathidin Central Emergency Vehicle OBE 15,Class 5,High,High,High,Emergency Response,Physical
Bangkok Emergency Vehicle OBE 01,Class 5,High,High,High,Emergency Response,Physical
Bangkok Emergency Vehicle OBE 02,Class 5,High,High,High,Emergency Response,Physical
Bangkok Emergency Vehicle OBE 03,Class 5,High,High,High,Emergency Response,Physical
Bangkok Emergency Vehicle OBE 04,Class 5,High,High,High,Emergency Response,Physical
Bangkok Emergency Vehicle OBE 05,Class 5,High,High,High,Emergency Response,Physical
Bangkok Emergency Vehicle OBE 06,Class 5,High,High,High,Emergency Response,Physical
Bangkok Emergency Vehicle OBE 07,Class 5,High,High,High,Emergency Response,Physical
Bangkok Emergency Vehicle OBE 08,Class 5,High,High,High,Emergency Response,Physical
Bangkok Emergency Vehicle OBE 09,Class 5,High,High,High,Emergency Response,Physical
Bangkok Emergency Vehicle OBE 10,Class 5,High,High,High,Emergency Response,Physical
Bangkok Emergency Vehicle OBE 11,Class 5,High,High,High,Emergency Response,Physical
Bangkok Emergency Vehicle OBE 12,Class 5,High,High,High,Emergency Response,Physical
Bangkok Emergency Vehicle OBE 13,Class 5,High,High,High,Emergency Response,Physical
Bangkok Emergency Vehicle OBE 14,Class 5,High,High,High,Emergency Response,Physical
Bangkok Emergency Vehicle OBE 15,Class 5,High,High,High,Emergency Response,Physical
Khorathindin Central Emergency Personnel 02,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 03,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 04,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 05,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 06,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 07,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 08,,,,,Emergency Response,Physical
