NodeName,isCyber,isPhysical,isSocial,ArchitectureLayer
Khorathidin Ambulance OBE 01,1,1,0,Physical
Kanokwan Chakrii - Khorathindin Central Emergency Personnel,0,1,1,Physical
Khorathidin Central Emergency Management Center,1,1,0,Physical
Other Emergency Management Centers,1,1,0,Physical
Somchai Adulyadej - Khorathidin Central Emergency System Operator,1,1,1,Physical
Other EV OBEs,1,1,0,Physical
Apple iPhone 16,1,1,0,Physical
Bangkok Emergency Management Center,1,1,0,Physical
Phnom Penh Emergency Management Center,1,1,0,Physical
Samut Prakan Emergency Management Center,1,1,0,Physical
Nonthaburi Emergency Management Center,1,1,0,Physical
Chiang Mai Emergency Management Center,1,1,0,Physical
Somsak Ayutthaya - Khorathidin Central Emergency System Operator,1,1,1,Physical
Wichai Boonmee - Khorathidin Central Emergency System Operator,1,1,1,Physical
Arthit Bun Ma - Khorathidin Central Emergency System Operator,1,1,1,Physical
Kittisak Chaidee - Khorathidin Central Emergency System Operator,1,1,1,Physical
Somchai Saetang - Bangkok Emergency System Operator,1,1,1,Physical
Arthit Saelim - Bangkok Emergency System Operator,1,1,1,Physical
Kittisak Ayutthaya - Bangkok Emergency System Operator,1,1,1,Physical
Somsak Chen - Bangkok Emergency System Operator,1,1,1,Physical
Kanokwan Charoensuk - Bangkok Emergency System Operator,1,1,1,Physical
Khorathidin Ambulance OBE 02,1,1,0,Physical
Khorathidin Ambulance OBE 03,1,1,0,Physical
Khorathidin Ambulance OBE 04,1,1,0,Physical
Khorathidin Ambulance OBE 05,1,1,0,Physical
Khorathidin Fire Engine OBE 01,1,1,0,Physical
Khorathidin Fire Engine OBE 02,1,1,0,Physical
Khorathidin Fire Engine OBE 03,1,1,0,Physical
Khorathidin Fire Engine OBE 04,1,1,0,Physical
Khorathidin Fire Engine OBE 5,1,1,0,Physical
Khorathidin Police Car OBE 1,1,1,0,Physical
Khorathidin Police Car OBE 2,1,1,0,Physical
Khorathidin Police Car OBE 3,1,1,0,Physical
Khorathidin Police Car OBE 4,1,1,0,Physical
Khorathidin Police Car OBE 5,1,1,0,Physical
Bangkok Police Car OBE 01,1,1,0,Physical
Bangkok Police Car OBE 02,1,1,0,Physical
Bangkok Police Car OBE 03,1,1,0,Physical
Bangkok Police Car OBE 04,1,1,0,Physical
Bangkok Police Car OBE 05,1,1,0,Physical
Bangkok Police Car OBE 06,1,1,0,Physical
Bangkok Police Car OBE 07,1,1,0,Physical
Bangkok Fire Truck OBE 01,1,1,0,Physical
Bangkok Fire Truck OBE 02,1,1,0,Physical
Bangkok Fire Truck OBE 03,1,1,0,Physical
Bangkok Ambulance OBE 01,1,1,0,Physical
Bangkok Ambulance OBE 02,1,1,0,Physical
Bangkok Ambulance OBE 03,1,1,0,Physical
Bangkok Ambulance OBE 04,1,1,0,Physical
Bangkok Ambulance OBE 05,1,1,0,Physical
Kanya Charoensuk - Khorathindin Central Emergency Personnel,0,1,1,Physical
Lalana Krungthep - Khorathindin Central Emergency Personnel,0,1,1,Physical
Malai Rattanakorn - Khorathindin Central Emergency Personnel,0,1,1,Physical
Nathamon Saengkaew - Khorathindin Central Emergency Personnel,0,1,1,Physical
Pimchanok Shinawatra - Khorathindin Central Emergency Personnel,0,1,1,Physical
Piyanan Somsri - Khorathindin Central Emergency Personnel,0,1,1,Physical
Ratanakorn Srisuwan - Khorathindin Central Emergency Personnel,0,1,1,Physical
Saranya Suwannarat - Khorathindin Central Emergency Personnel,0,1,1,Physical
Sasi Tham-boon - Khorathindin Central Emergency Personnel,0,1,1,Physical
Sukanya Thong Di - Khorathindin Central Emergency Personnel,0,1,1,Physical
Tanya Saetang - Khorathindin Central Emergency Personnel,0,1,1,Physical
