SourceNode,InputProcessOutput,DestinationNode
ElectricityMeters,Input ,EnergyMonitoringManagement
ExternalAmbientConditions,Input ,EnergyMonitoringManagement
GasMetersMonitor,Input ,EnergyMonitoringManagement
InternalAmbientConditions,Input ,EnergyMonitoringManagement
NetworkAnalyzer,Input ,EnergyMonitoringManagement
SolarThermalInstallation,Input ,EnergyMonitoringManagement
TemperatureMonitor,Input ,EnergyMonitoringManagement
ContainerGlass,Input ,GarbageCollectionManagement
ContainerOrganic,Input ,GarbageCollectionManagement
ContainerPaper,Input ,GarbageCollectionManagement
ContainerPlastic,Input ,GarbageCollectionManagement
ContainerRefuse,Input ,GarbageCollectionManagement
NoiseMonitor,Input,NoiseMonitoringManagement
AirQualityMonitor,Input,UrbanLabMonitoringManagement
BicycleFlow,Input,UrbanLabMonitoringManagement
PeopleFlow,Input,UrbanLabMonitoringManagement
TrafficMonitor,Input,UrbanLabMonitoringManagement
WeatherMonitor,Input,UrbanLabMonitoringManagement
ParkingMonitor,Input,ParkingSpotsManagement
EnergyMonitoringManagement,Input,SentiloDB
GarbageCollectionManagement,Input,SentiloDB
NoiseMonitoringManagement,Input,SentiloDB
UrbanLabMonitoringManagement,Input,SentiloDB
ParkingSpotsManagement,Input,SentiloDB
