SourceNode,InputProcessOutput,DestinationNode
Weather,Input ,SolarPanels
SolarPanels,Input,SmartElectricityGrid
SmartElectricityGrid,Input,PowerStation
PowerStation,Input,SmartElectricityGrid
SmartElectricityGrid,Input,CityDataCentre
TelecomSystem,Process,SmartElectricityGrid
TelecomSystem,Process,WaterManagementSystem
WaterSensors,Input,WaterManagementSystem
WaterManagementSystem,Input,CityDataCentre
WaterManagementSystem,Input,ReservoirSystem
ReservoirSystem,Input,WaterManagementSystem
CityDataCentre,Process,CityCouncil
WasteCollection,Output,CityCouncil
PublicParks,Output,CityCouncil
CommunityCentre,Output,CityCouncil
StreetLighting,Output,CityCouncil
TrafficLights,Output,CityCouncil
RoadTraffic,Input,TrafficLights
Commuters,Input,RoadTraffic
RoadTraffic,Input,Parking
RoadTraffic,Input,PublicTransport
FinancialInstitutions,Process,PublicTransport
FinancialInstitutions,Process,Taxes
Taxes,Process,CouncilCitizenPortal
CouncilCitizenPortal,Process,CityCouncil
EmergencyResponseCentre,Input,CityDataCentre
PublicTransport,Output,CityCouncil
TelecomSystem,Input,EmergencyResponseCentre
EmergencyResponseCentre,Input,Police
EmergencyResponseCentre,Input,FireBrigade
EmergencyResponseCentre,Input,Ambulance
Ambulance,Input,Hospital
RoadTraffic,Input,Ambulance
FinancialInstitutions,Process,Retail
TelecomSystem,Process,FinancialInstitutions
Weather,Input,StreetLighting
Weather,Input,Commuters
WasteCollection,Input,CityDataCentre
Workers,Input,SmartElectricityGrid
Workers,Input,PowerStation
Workers,Input,WaterManagementSystem
Workers,Input,ReservoirSystem
Workers,Input,CityCouncil
Workers,Input,WasteCollection
Workers,Input,EmergencyResponseCentre
Workers,Input,Police
Workers,Input,FireBrigade
Workers,Input,Hospital
Workers,Input,TelecomSystem
Workers,Input,FinancialInstitutions
Workers,Input,Retail
Workers,Input,PublicTransport
Workers,Input,Ambulance
Consumers,Input,Retail
Consumers,Input,TelecomSystem
Consumers,Input,PublicTransport
Consumers,Input,PublicParks
Consumers,Input,CommunityCentre
Consumers,Input,Retail
Consumers,Input,Police
Consumers,Input,FireBrigade
Consumers,Input,Hospital
Consumers,Input,Ambulance
Workers,Input,Taxes
PublicTransport,Input,Schools
Workers,Input,Schools
Commuters,Input,Schools
Schools,Input,CityDataCentre
Schools,Output,CityCouncil
