Source,InformationFlow,Destination,SourceLayer,DestLayer
Bangkok Emergency Management Center,decision support information,Khorathidin Ambulance OBE 01,Physical,Physical
Bangkok Emergency Management Center,incident command information coordination,Other Emergency Management Centers,Physical,Physical
Bangkok Emergency Management Center,emergency operations status,Somchai Saetang - Bangkok Emergency System Operator,Physical,Physical
Bangkok Emergency Management Center,decision support information,Apple iPhone 16,Physical,Physical
Bangkok Emergency Management Center,incident command information,Apple iPhone 16,Physical,Physical
Bangkok Emergency Management Center,incident command information coordination,Phnom Penh Emergency Management Center,Physical,Physical
Bangkok Emergency Management Center,incident command information coordination,Samut Prakan Emergency Management Center,Physical,Physical
Bangkok Emergency Management Center,incident command information coordination,Nonthaburi Emergency Management Center,Physical,Physical
Bangkok Emergency Management Center,incident command information coordination,Chiang Mai Emergency Management Center,Physical,Physical
Bangkok Emergency Management Center,emergency operations status,Arthit Saelim - Bangkok Emergency System Operator,Physical,Physical
Bangkok Emergency Management Center,emergency operations status,Kittisak Ayutthaya - Bangkok Emergency System Operator,Physical,Physical
Bangkok Emergency Management Center,emergency operations status,Somsak Chen - Bangkok Emergency System Operator,Physical,Physical
Bangkok Emergency Management Center,emergency operations status,Kanokwan Charoensuk - Bangkok Emergency System Operator,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Ambulance OBE 02,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Ambulance OBE 03,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Ambulance OBE 04,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Ambulance OBE 05,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Fire Engine OBE 01,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Fire Engine OBE 02,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Fire Engine OBE 03,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Fire Engine OBE 04,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Fire Engine OBE 5,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Police Car OBE 1,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Police Car OBE 2,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Police Car OBE 3,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Police Car OBE 4,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Police Car OBE 5,Physical,Physical
Bangkok Emergency Management Center,decision support information,Bangkok Police Car OBE 01,Physical,Physical
Bangkok Emergency Management Center,decision support information,Bangkok Police Car OBE 02,Physical,Physical
Bangkok Emergency Management Center,decision support information,Bangkok Police Car OBE 03,Physical,Physical
Bangkok Emergency Management Center,decision support information,Bangkok Police Car OBE 04,Physical,Physical
Bangkok Emergency Management Center,decision support information,Bangkok Police Car OBE 05,Physical,Physical
Bangkok Emergency Management Center,decision support information,Bangkok Police Car OBE 06,Physical,Physical
Bangkok Emergency Management Center,decision support information,Bangkok Police Car OBE 07,Physical,Physical
Bangkok Emergency Management Center,decision support information,Bangkok Fire Truck OBE 01,Physical,Physical
Bangkok Emergency Management Center,decision support information,Bangkok Fire Truck OBE 02,Physical,Physical
Bangkok Emergency Management Center,decision support information,Bangkok Fire Truck OBE 03,Physical,Physical
Bangkok Emergency Management Center,decision support information,Bangkok Ambulance OBE 01,Physical,Physical
Bangkok Emergency Management Center,decision support information,Bangkok Ambulance OBE 02,Physical,Physical
