Source,InformationFlow,Destination,SourceLayer,DestLayer
Bangkok Emergency Management Center,decision support information,Khorathidin Central Emergency Vehicle OBE 01,Physical,Physical
Bangkok Emergency Management Center,incident command information coordination,Other Emergency Management Centers,Physical,Physical
Bangkok Emergency Management Center,emergency operations status,Bangkok Emergency System Operator 01,Physical,Physical
Bangkok Emergency Management Center,decision support information,Personnel Device 01,Physical,Physical
Bangkok Emergency Management Center,incident command information,Personnel Device 01,Physical,Physical
Bangkok Emergency Management Center,incident command information coordination,Phnom Penh Emergency Management Center,Physical,Physical
Bangkok Emergency Management Center,incident command information coordination,Samut Prakan Emergency Management Center,Physical,Physical
Bangkok Emergency Management Center,incident command information coordination,Nonthaburi Emergency Management Center,Physical,Physical
Bangkok Emergency Management Center,incident command information coordination,Chiang Mai Emergency Management Center,Physical,Physical
Bangkok Emergency Management Center,emergency operations status,Bangkok Emergency System Operator 02,Physical,Physical
Bangkok Emergency Management Center,emergency operations status,Bangkok Emergency System Operator 03,Physical,Physical
Bangkok Emergency Management Center,emergency operations status,Bangkok Emergency System Operator 04,Physical,Physical
Bangkok Emergency Management Center,emergency operations status,Bangkok Emergency System Operator 05,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Central Emergency Vehicle OBE 02,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Central Emergency Vehicle OBE 03,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Central Emergency Vehicle OBE 04,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Central Emergency Vehicle OBE 05,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Central Emergency Vehicle OBE 06,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Central Emergency Vehicle OBE 07,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Central Emergency Vehicle OBE 08,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Central Emergency Vehicle OBE 09,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Central Emergency Vehicle OBE 10,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Central Emergency Vehicle OBE 11,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Central Emergency Vehicle OBE 12,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Central Emergency Vehicle OBE 13,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Central Emergency Vehicle OBE 14,Physical,Physical
Bangkok Emergency Management Center,decision support information,Khorathidin Central Emergency Vehicle OBE 15,Physical,Physical
