Source,InformationFlow,Destination,SourceLayer,DestLayer
Driver,driver input,Vehicle,Physical,Physical
Driver,request for service,Vehicle,Physical,Physical
Vehicle,driver updates,Driver,Physical,Physical
Vehicle,vehicle location and motion for mapping,Map Update System,Physical,Physical
Vehicle,vehicle location and motion,Other Vehicles,Physical,Physical
Vehicle,intersection infringement info,Other Vehicles,Physical,Physical
Vehicle,vehicle profile,Other Vehicles,Physical,Physical
Vehicle,vehicle environmental data,Other Vehicles,Physical,Physical
Vehicle,vehicle control event,Other Vehicles,Physical,Physical
Vehicle,vehicle platoon coordination,Other Vehicles,Physical,Physical
Vehicle,emergency notification,Other Vehicles,Physical,Physical
Vehicle,emergency acknowledge,Other Vehicles,Physical,Physical
Vehicle,emergency notification relay,Other Vehicles,Physical,Physical
Vehicle,vehicle path prediction,Other Vehicles,Physical,Physical
Vehicle,vehicle hazard event,Other Vehicles,Physical,Physical
Vehicle,vehicle cluster coordination,Other Vehicles,Physical,Physical
Vehicle,wrong way vehicle detected,Other Vehicles,Physical,Physical
Vehicle,map update sharing,Other Vehicles,Physical,Physical
Vehicle,vehicle maneuver coordination,Other Vehicles,Physical,Physical
Vehicle,detected unequipped vehicles and VRUs,Other Vehicles,Physical,Physical
Vehicle,detected obstacles,Other Vehicles,Physical,Physical
Vehicle,vehicle location and motion,Connected Vehicle Roadside Equipment,Physical,Physical
Vehicle,intersection infringement info,Connected Vehicle Roadside Equipment,Physical,Physical
Vehicle,vehicle profile,Connected Vehicle Roadside Equipment,Physical,Physical
Vehicle,vehicle environmental data,Connected Vehicle Roadside Equipment,Physical,Physical
Vehicle,vehicle reported emissions,Connected Vehicle Roadside Equipment,Physical,Physical
Vehicle,vehicle control event,Connected Vehicle Roadside Equipment,Physical,Physical
Vehicle,vehicle platoon coordination,Connected Vehicle Roadside Equipment,Physical,Physical
Vehicle,automated vehicle control status,Connected Vehicle Roadside Equipment,Physical,Physical
Vehicle,vehicle situation data,Connected Vehicle Roadside Equipment,Physical,Physical
Vehicle,vehicle location and motion for surveillance,Connected Vehicle Roadside Equipment,Physical,Physical
Vehicle,access request,Connected Vehicle Roadside Equipment,Physical,Physical
Vehicle,vehicle cluster coordination,Connected Vehicle Roadside Equipment,Physical,Physical
Vehicle,cooperative adaptive cruise control status,Connected Vehicle Roadside Equipment,Physical,Physical
Vehicle,wrong way vehicle detected,Connected Vehicle Roadside Equipment,Physical,Physical
Vehicle,detected unequipped vehicles and VRUs,Connected Vehicle Roadside Equipment,Physical,Physical
Vehicle,detected obstacles,Connected Vehicle Roadside Equipment,Physical,Physical
Vehicle,vehicle environmental data,Transportation Information Center,Physical,Physical
Vehicle,vehicle situation data,Transportation Information Center,Physical,Physical
Vehicle,vehicle location and motion,Personal Information Device,Physical,Physical
Vehicle,vehicle incident record,Enforcement Center,Physical,Physical
Vehicle,service record,Enforcement Center,Physical,Physical
Vehicle,vehicle collision information,Emergency Vehicle OBE,Physical,Physical
Vehicle,emergency notification,Emergency Management Center,Physical,Physical
Vehicle,emergency notification relay,Emergency Management Center,Physical,Physical
Vehicle,loading zone use request,Parking Area Equipment,Physical,Physical
Vehicle,OBE status,Service Monitor System,Physical,Physical
Vehicle,collision warning information,Basic Vehicle,Physical,Physical
Vehicle,driver update information,Basic Vehicle,Physical,Physical
Vehicle,vehicle control,Basic Vehicle,Physical,Physical
Vehicle,vehicle diagnostic data,Vehicle Service Center,Physical,Physical
Vehicle,vehicle service request,Vehicle Service Center,Physical,Physical
Vehicle,METR discrepancy report,METR System,Physical,Physical
Vehicle,vehicle location and motion,Personnel Device,Physical,Physical
Vehicle,vehicle location and motion,Micromobility Vehicle OBE,Physical,Physical
Vehicle,METR discrepancy report,METR Discrepancy Handling System,Physical,Physical
Vehicle,device configuration coordination,Personal,Physical,Physical
Map Update System,map updates,Vehicle,Physical,Physical
Map Update System,intersection geometry,Vehicle,Physical,Physical
Map Update System,roadway geometry,Vehicle,Physical,Physical
Map Update System,parking facility geometry,Vehicle,Physical,Physical
Map Update System,map updates,Connected Vehicle Roadside Equipment,Physical,Physical
Map Update System,intersection geometry,Connected Vehicle Roadside Equipment,Physical,Physical
Map Update System,roadway geometry,Connected Vehicle Roadside Equipment,Physical,Physical
