Source,InformationFlow,Destination,SourceLayer,DestLayer
Freight Equipment,freight equipment information,Commercial Vehicle OBE,Physical,Physical
Freight Equipment,freight equipment information,Fleet and Freight Management Center,Physical,Physical
Commercial Vehicle OBE,freight equipment information,Fleet and Freight Management Center,Physical,Physical
Commercial Vehicle OBE,hazmat notification,Fleet and Freight Management Center,Physical,Physical
Commercial Vehicle OBE,commercial vehicle location data,Fleet and Freight Management Center,Physical,Physical
Commercial Vehicle OBE,hazmat notification,Emergency Management Center,Physical,Physical
Commercial Vehicle OBE,commercial vehicle location data,Emergency Management Center,Physical,Physical
Fleet and Freight Management Center,hazmat information,Commercial Vehicle OBE,Physical,Physical
Fleet and Freight Management Center,hazmat notification,Emergency Management Center,Physical,Physical
Fleet and Freight Management Center,hazmat information,Emergency Management Center,Physical,Physical
Fleet and Freight Management Center,commercial vehicle location data,Emergency Management Center,Physical,Physical
Emergency Management Center,hazmat information request,Fleet and Freight Management Center,Physical,Physical
