Source,InformationFlow,Destination,SourceLayer,DestLayer
Bangkok Traffic Management Center,rail crossing request,Bangkok Central Line Crossing Roadway Equipment,Physical,Physical
Bangkok Traffic Management Center,rail crossing control data,Bangkok Central Line Crossing Roadway Equipment,Physical,Physical
Bangkok Traffic Management Center,rail crossing advisories,Bangkok Rail Operations Center,Physical,Physical
Bangkok Traffic Management Center,rail crossing advisories,Bangkok Rail Operations Center,Physical,Physical
Bangkok Traffic Management Center,rail crossing request,Bangkok South-East Crossing Roadway Equipment,Physical,Physical
Bangkok Traffic Management Center,rail crossing control data,Bangkok South-East Crossing Roadway Equipment,Physical,Physical
Bangkok Central Line Crossing Roadway Equipment,rail crossing status,Bangkok Traffic Management Center,Physical,Physical
Bangkok Rail Operations Center,railroad advisories,Bangkok Traffic Management Center,Physical,Physical
Bangkok Rail Operations Center,railroad schedules,Bangkok Traffic Management Center,Physical,Physical
Bangkok Rail Operations Center,railroad advisories,Bangkok Traffic Management Center,Physical,Physical
Bangkok Rail Operations Center,railroad schedules,Bangkok Traffic Management Center,Physical,Physical
Bangkok South-East Crossing Roadway Equipment,rail crossing status,Bangkok Traffic Management Center,Physical,Physical
Bangkok Rail Operations Center,railroad advisories,Khorathidin Transportation Information Center,Physical,Physical
Bangkok Rail Operations Center,railroad schedules,Khorathidin Transportation Information Center,Physical,Physical
Bangkok Rail Operations Center,railroad schedules,Khorathidin Transportation Information Center,Physical,Physical
Bangkok Traffic Management Center,road network conditions,Khorathidin Transportation Information Center,Physical,Physical
Bangkok Traffic Management Center,road network conditions,Khorathidin Transportation Information Center,Physical,Physical
Phnom Penh Rail Operations Center,railroad advisories,Khorathidin Transportation Information Center,Physical,Physical
Phnom Penh Rail Operations Center,railroad schedules,Khorathidin Transportation Information Center,Physical,Physical
Phnom Penh Rail Operations Center,railroad advisories,Khorathidin Transportation Information Center,Physical,Physical
Phnom Penh Traffic Management Center,road network conditions,Khorathidin Transportation Information Center,Physical,Physical
Phnom Penh Traffic Management Center,road network conditions,Khorathidin Transportation Information Center,Physical,Physical
Phnom Penh Traffic Management Center,rail crossing request,Phnom Penh North-East Crossing Roadway Equipment,Physical,Physical
Phnom Penh Traffic Management Center,rail crossing control data,Phnom Penh North-East Crossing Roadway Equipment,Physical,Physical
Phnom Penh Traffic Management Center,rail crossing advisories,Phnom Penh Rail Operations Center,Physical,Physical
Phnom Penh Traffic Management Center,rail crossing advisories,Phnom Penh Rail Operations Center,Physical,Physical
Phnom Penh Traffic Management Center,rail crossing request,Phnom Penh Riverside Crossing Roadway Equipment,Physical,Physical
Phnom Penh Traffic Management Center,rail crossing control data,Phnom Penh Riverside Crossing Roadway Equipment,Physical,Physical
Phnom Penh North-East Crossing Roadway Equipment,rail crossing status,Phnom Penh Traffic Management Center,Physical,Physical
Phnom Penh Rail Operations Center,railroad advisories,Phnom Penh Traffic Management Center,Physical,Physical
Phnom Penh Rail Operations Center,railroad schedules,Phnom Penh Traffic Management Center,Physical,Physical
Phnom Penh Rail Operations Center,railroad advisories,Phnom Penh Traffic Management Center,Physical,Physical
Phnom Penh Rail Operations Center,railroad schedules,Phnom Penh Traffic Management Center,Physical,Physical
Phnom Penh Riverside Crossing Roadway Equipment,rail crossing status,Phnom Penh Traffic Management Center,Physical,Physical
Bangkok Traffic Management Center,rail crossing request,Bangkok Chon Buri Interchange Crossing Roadway Equipment,Physical,Physical
Bangkok Traffic Management Center,rail crossing control data,Bangkok Chon Buri Interchange Crossing Roadway Equipment,Physical,Physical
Bangkok Chon Buri Interchange Crossing Roadway Equipment,rail crossing status,Bangkok Traffic Management Center,Physical,Physical
